Produto,Pagamento,Tipo de Evento,Instituição,Quantidade,Preço unitário,Valor líquido
UNIP6        - UNIPAR CARBOCLORO S/A,30/12/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,177,4.59,812.39
UNIP6        - UNIPAR CARBOCLORO S/A,30/12/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,177,0.33,59.03
BRAP4        - BRADESPAR S.A.,29/12/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,41,6.04,247.79
TAEE11       - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,29/12/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,162,0.59,80.75
TAEE11       - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,29/12/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,162,0.93,150.94
PETR4        - PETROLEO BRASILEIRO S/A PETROBRAS,15/12/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,78,1.06,69.97
PETR4        - PETROLEO BRASILEIRO S/A PETROBRAS,15/12/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,78,2.20,171.21
RBRP11       - FII RBR PROP,14/12/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.46,11.96
HSML11       - HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,07/12/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.52,12.48
ALUP11       - ALUPAR INVESTIMENTOS S/A,30/11/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,82,0.15,12.55
ALUP11       - ALUPAR INVESTIMENTOS S/A,30/11/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,82,0.09,7.12
UNIP6        - UNIPAR CARBOCLORO S/A,30/11/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,177,3.28,580.94
EGIE3        - ENGIE BRASIL ENERGIA S.A.,29/11/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,66,0.97,63.86
TUPY3        - TUPY S/A,25/11/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,100,0.14,12.08
WIZS3        - WIZ SOLUCOES E CORRETAGEM DE SEGUROS S.A.,25/11/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,290,0.52,150.08
RBRP11       - FII RBR PROP,16/11/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.46,11.96
HSML11       - HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,08/11/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.52,12.48
RBRP11       - FII RBR PROP,15/10/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.45,11.70
HSML11       - HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,07/10/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.52,12.48
VIVT3        - TELEFONICA BRASIL S/A,05/10/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,32,0.94,30.13
VIVT3        - TELEFONICA BRASIL S/A,05/10/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,32,0.71,22.74
ITSA4        - ITAUSA S/A,01/10/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,400,0.02,8.00
ITSA4        - ITAUSA S/A,01/10/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,614,0.02,12.28
RBRP11       - FII RBR PROP,15/09/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.43,11.18
HSML11       - HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,08/09/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.50,12.00
ALUP11       - ALUPAR INVESTIMENTOS S/A,30/08/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,82,0.30,24.60
UNIP6        - UNIPAR CARBOCLORO S/A,27/08/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,177,2.98,526.72
UNIP6        - UNIPAR CARBOCLORO S/A,27/08/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,177,0.31,54.22
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,614,0.04,19.49
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,MODAL DTVM LTDA,200,0.02,2.63
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,414,0.02,5.44
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,414,0.02,6.71
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,200,0.02,2.63
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,400,0.02,7.25
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,400,0.02,6.26
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,200,0.02,3.24
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,414,0.02,7.50
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,MODAL DTVM LTDA,200,0.02,3.24
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,414,0.02,6.47
ITSA4        - ITAUSA S/A,26/08/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,400,0.04,12.70
TUPY3        - TUPY S/A,26/08/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,100,0.14,11.58
PETR4        - PETROLEO BRASILEIRO S/A PETROBRAS,25/08/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,78,1.61,125.57
BBSE3        - BB SEGURIDADE PARTICIPACOES S.A.,23/08/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,178,0.52,92.71
RBRP11       - FII RBR PROP,13/08/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.42,10.92
BPAC11       - BANCO BTG PACTUAL S/A,12/08/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,176,0.17,25.42
HSML11       - HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,06/08/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.50,12.00
BRAP4 - BRADESPAR S.A.                                    ,26/07/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,37,1.78,65.88
RBRP11 - FDO INV IMOB RBR PROPERTIES - FII                 ,15/07/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.35,9.10
VIVT3        - TELEFONICA BRASIL S/A,13/07/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,32,0.15,4.19
VIVT3        - TELEFONICA BRASIL S/A,13/07/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,32,0.24,6.45
VIVT4        - TELEFONICA BRASIL S/A,13/07/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,32,0.40,10.80
VIVT4        - TELEFONICA BRASIL S/A,13/07/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,12,0.55,5.61
EGIE3 - ENGIE BRASIL ENERGIA S.A.                         ,12/07/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,66,0.75,49.30
HSML11 - HSI MALL FDO INV IMOB                             ,07/07/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.40,9.60
ITSA4 - ITAUSA S.A.                                       ,01/07/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,400,0.02,8.00
ITSA4 - ITAUSA S.A.                                       ,01/07/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,414,0.02,8.28
ENBR3        - EDP ENERGIAS DO BRASIL S.A.,23/06/2021,Juros Sobre Capital Próprio,MODAL DTVM LTDA,100,0.27,23.06
ENBR3        - EDP ENERGIAS DO BRASIL S.A.,23/06/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,100,0.73,72.87
ENBR3        - EDP ENERGIAS DO BRASIL S.A.,23/06/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,279,0.73,203.32
ENBR3        - EDP ENERGIAS DO BRASIL S.A.,23/06/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,279,0.27,64.32
RBRP11       - FII RBR PROP,15/06/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.32,8.32
UNIP6        - UNIPAR CARBOCLORO S/A,15/06/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,177,2.74,484.12
HSML11       - HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,08/06/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.35,8.40
ALUP11 - ALUPAR INVESTIMENTO S/A                           ,31/05/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,82,0.30,24.60
LEVE3 - MAHLE-METAL LEVE S.A.                             ,28/05/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,92,0.38,34.83
LEVE3 - MAHLE-METAL LEVE S.A.                             ,28/05/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,92,0.55,43.04
TAEE11 - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.     ,27/05/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,162,1.63,264.25
TAEE11 - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.     ,27/05/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,162,0.19,25.98
TAEE11 - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.     ,27/05/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,162,1.17,188.83
WIZS3 - WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.         ,25/05/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,290,0.09,26.48
RBRP11 - FDO INV IMOB RBR PROPERTIES - FII                 ,14/05/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.30,7.80
BRAP4 - BRADESPAR S.A.                                    ,12/05/2021,Dividendo,MODAL DTVM LTDA,37,2.72,100.48
BRAP4 - BRADESPAR S.A.                                    ,12/05/2021,Juros Sobre Capital Próprio,MODAL DTVM LTDA,37,0.73,22.87
HSML11 - HSI MALL FDO INV IMOB                             ,07/05/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.22,5.28
UNIP6 - UNIPAR CARBOCLORO S.A.                            ,30/04/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,177,1.05,186.57
UNIP6 - UNIPAR CARBOCLORO S.A.                            ,30/04/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,177,0.17,29.66
PETR4 - PETROLEO BRASILEIRO S.A. PETROBRAS                ,29/04/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,78,0.79,61.42
PETR4 - PETROLEO BRASILEIRO S.A. PETROBRAS                ,29/04/2021,Rendimento,CLEAR CORRETORA - GRUPO XP,78,0.01,0.33
RBRP11 - FDO INV IMOB RBR PROPERTIES - FII                 ,15/04/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.50,13.00
HSML11 - HSI MALL FDO INV IMOB                             ,08/04/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.16,3.84
EGIE3 - ENGIE BRASIL ENERGIA S.A.                         ,05/04/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,66,0.21,12.03
ITSA4 - ITAUSA S.A.                                       ,01/04/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,414,0.02,8.28
ITSA4 - ITAUSA S.A.                                       ,01/04/2021,Dividendo,MODAL DTVM LTDA,200,0.02,4.00
ITSA4 - ITAUSA S.A.                                       ,01/04/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,200,0.02,4.00
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,MODAL DTVM LTDA,200,0.10,17.29
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,200,0.10,17.29
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,414,0.02,7.32
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,200,0.02,3.54
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,414,0.10,35.77
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,MODAL DTVM LTDA,200,0.02,3.54
RBRP11 - FDO INV IMOB RBR PROPERTIES - FII                 ,12/03/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.52,13.52
HSML11 - HSI MALL FDO INV IMOB                             ,05/03/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.40,9.60
BBSE3 - BB SEGURIDADE PARTICIPAÇÕES S.A.                  ,25/02/2021,Rendimento,CLEAR CORRETORA - GRUPO XP,178,0.00,0.18
BBSE3 - BB SEGURIDADE PARTICIPAÇÕES S.A.                  ,25/02/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,178,0.47,84.51
RBRP11 - FDO INV IMOB RBR PROPERTIES - FII                 ,12/02/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.52,13.52
BPAC11 - BCO BTG PACTUAL S.A.                              ,05/02/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,16,0.59,8.02
BPAC11 - BCO BTG PACTUAL S.A.                              ,05/02/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,16,0.62,8.47
HSML11 - HSI MALL FDO INV IMOB                             ,05/02/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.50,12.00
EGIE3 - ENGIE BRASIL ENERGIA S.A.                         ,29/01/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,66,0.68,44.85
EGIE3 - ENGIE BRASIL ENERGIA S.A.                         ,29/01/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,66,0.83,54.81
